date,tavg,tmin,tmax,prcp,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,-0.7,-6,3.3,0,4,,1017.8,
2024-01-02 00:00:00,-3.1,-8.2,4.4,0,4.7,,1017.3,
2024-01-03 00:00:00,-0.2,-7.1,6.1,0,3.2,,1015.4,
2024-01-04 00:00:00,1.3,-6,6.7,0,14.8,,1014.8,
2024-01-05 00:00:00,-3.8,-7.7,0.6,0,15.1,,1022.8,
2024-01-06 00:00:00,-0.2,-4.3,1.7,1.8,9,,1021.9,
2024-01-07 00:00:00,-2.9,-6,0.6,2,18,,1008.1,
2024-01-08 00:00:00,-3.4,-9.9,1.1,0,7.6,,1024.6,
2024-01-09 00:00:00,-3.6,-12.1,5,20.1,10.4,,1024.9,
2024-01-10 00:00:00,8.1,5,12.2,49.8,19.8,,991,
2024-01-11 00:00:00,4.2,1.7,6.7,0,14.4,,1008.7,
2024-01-12 00:00:00,3.5,-2.7,8.3,0,9.7,,1020.3,
2024-01-13 00:00:00,7.6,2.8,15.6,27.9,24.8,,997.3,
2024-01-14 00:00:00,0.6,-4.3,3.9,0,23.8,,1009,
2024-01-15 00:00:00,-4.1,-7.7,-1,0,8.3,,1022.7,
2024-01-16 00:00:00,-3.7,-6,-2.1,0.3,11.2,,1012.4,
2024-01-17 00:00:00,-6.9,-10.5,-3.8,0,14.8,,1011.5,
2024-01-18 00:00:00,-5.8,-9.9,-1.6,0,13,,1019,
2024-01-19 00:00:00,-6.2,-11,-2.1,0,10.8,,1012.1,
2024-01-20 00:00:00,-9.7,-11.6,-7.1,0,19.4,,1011.4,
2024-01-21 00:00:00,-7.9,-11,-3.2,0,18,,1023.4,
2024-01-22 00:00:00,-3.4,-13.2,2.8,0,12.6,,1030.7,
2024-01-23 00:00:00,1.9,-0.5,3.3,0,7.9,,1031.4,
2024-01-24 00:00:00,0.4,-1,2.2,13.2,1.4,,1033.6,
2024-01-25 00:00:00,5,1.1,10,2.8,6.5,,1021.8,
2024-01-26 00:00:00,3.1,1.7,4.4,15,11.2,,1021.6,
2024-01-27 00:00:00,2.1,0,4.4,0,4.7,,1023.5,
2024-01-28 00:00:00,1.3,0.6,2.8,9.4,9.4,,1014.8,
2024-01-29 00:00:00,0.6,0,1.1,2,16.2,,1010.6,
2024-01-30 00:00:00,-2.5,-4.3,0,0,11.2,,1024.6,
2024-01-31 00:00:00,-1.8,-3.8,0.6,0,6.1,,1021.7,
2024-02-01 00:00:00,1.7,-0.5,3.9,0,6.5,,1015.7,
2024-02-02 00:00:00,2.5,0.6,5,0,7.9,,1013,
2024-02-03 00:00:00,-0.2,-2.7,2.8,0,16.6,,1017.4,
2024-02-04 00:00:00,-1.2,-7.1,5.6,0,13.3,,1015.2,
2024-02-05 00:00:00,-0.3,-4.9,4.4,0,14.8,,1014.4,
2024-02-06 00:00:00,-0.6,-4.9,3.9,0,9.4,,1022.9,
2024-02-07 00:00:00,-0.6,-6,6.1,0,5,,1026.8,
2024-02-08 00:00:00,0,-6,8.9,0,2.5,,1027.2,
2024-02-09 00:00:00,3.1,-3.8,10.6,0,9,,1020.8,
